
Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..xternal>:1509 FileFinder._get_spec  1      0.000022  0.000055  0.000055
..b/tracelog.py:205 log_message_send  19     0.000055  0.000055  0.000003
..ping_extensions.py:1364 get_origin  4      0.000034  0.000055  0.000014
..andb/sdk/wandb_run.py:307 <lambda>  2      0.000046  0.000054  0.000027
..on_saver.py:5 ActionSaver.__init__  20     0.000054  0.000054  0.000003
...py:319 _process_internal_messages  2      0.000054  0.000054  0.000027
.._foreach_kernels_supported_devices  6      0.000034  0.000052  0.000009
..nvs/line_generators.py:41 <lambda>  20     0.000050  0.000050  0.000003
..._bootstrap>:398 ModuleSpec.parent  5      0.000035  0.000048  0.000010
..lib/python3.9/enum.py:358 __call__  4      0.000030  0.000048  0.000012
..ges/tqdm/std.py:438 status_printer  1      0.000026  0.000048  0.000048
..>:874 _ImportLockContext.__enter__  5      0.000032  0.000047  0.000009
..namo/decorators.py:152 graph_break  12     0.000044  0.000044  0.000004
..s/_contextlib.py:146 no_grad.clone  1      0.000013  0.000041  0.000041
..tstrap_external>:79 _unpack_uint32  3      0.000025  0.000040  0.000013
..tlocale.py:33 getpreferredencoding  1      0.000024  0.000039  0.000039
..thon3.9/typing.py:218 _deduplicate  2      0.000022  0.000039  0.000019
..ls_internal.py:271 justknobs_check  12     0.000039  0.000039  0.000003
..torch/jit/__init__.py:128 annotate  12     0.000038  0.000038  0.000003
..p>:878 _ImportLockContext.__exit__  5      0.000026  0.000038  0.000008
..amo/eval_frame.py:272 innermost_fn  3      0.000023  0.000038  0.000013
..65 WeakValueDictionary.__setitem__  1      0.000020  0.000037  0.000037
..ages/tqdm/utils.py:125 tqdm.__eq__  1      0.000012  0.000037  0.000037
..ilbox.py:439 Mailbox._release_slot  3      0.000027  0.000037  0.000012
..n3.9/_weakrefset.py:86 WeakSet.add  2      0.000016  0.000036  0.000018
..nvs/line_generators.py:39 <lambda>  16     0.000036  0.000036  0.000002
